SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),4125 Georgia St,San Diego,CA,92103,1950000,7,4,92103 - Mission Hills,2750,6996,1914,2,709,,Active,,,https://www.redfin.com/CA/San-Diego/4125-Georgia-St-92103/home/5301789,CRMLS,PTP2206612,N,Y,32.75275,-117.14479
MLS Listing,,Condo/Co-op,17161 Alva Rd #2926,San Diego,CA,92127,439950,1,1,Rancho Bernardo,745,59920,1992,1,591,388,Active,,,https://www.redfin.com/CA/San-Diego/17161-Alva-Rd-92127/unit-2926/home/6260715,SDMLS,220025483,N,Y,33.0243542,-117.1050914
MLS Listing,,Single Family Residential,7510 Park Ridge Blvd,San Diego,CA,92120,1199000,4,2,Del Cerro,1890,8800,1971,2,634,,Active,October-9-2022 01:00 PM,October-9-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/7510-Park-Ridge-Blvd-92120/home/5408352,SDMLS,220025477,N,Y,32.8059215,-117.0501468
MLS Listing,,Single Family Residential,1623 Arequipa St,San Diego,CA,92154,549900,4,2,92154 - Otay Mesa,1160,5300,1972,2,474,,Active,,,https://www.redfin.com/CA/San-Diego/1623-Arequipa-St-92154/home/6178307,CRMLS,PTP2206611,N,Y,32.5669786,-117.0985995
MLS Listing,,Single Family Residential,7361 Golfcrest Dr,San Diego,CA,92119,979000,3,2,San Carlos,1330,,1970,2,736,,Active,,,https://www.redfin.com/CA/San-Diego/7361-Golfcrest-Dr-92119/home/4979651,SDMLS,220025475,N,Y,32.8092013,-117.042009
MLS Listing,,Single Family Residential,7141 Lewison Dr,San Diego,CA,92120,1249900,4,2,92120 - Del Cerro,1836,6900,1964,2,681,,Active,,,https://www.redfin.com/CA/San-Diego/7141-Lewison-Dr-92120/home/6241945,CRMLS,PTP2206558,N,Y,32.8008815,-117.0786497
MLS Listing,,Single Family Residential,3986 Anastasia St,San Diego,CA,92111,1190000,4,2,92111 - Linda Vista,1869,6100,1962,2,637,,Active,,,https://www.redfin.com/CA/San-Diego/3986-Anastasia-St-92111/home/5162638,CRMLS,NDP2210230,N,Y,32.8174308,-117.1670298
MLS Listing,,Single Family Residential,9050 Capricorn Way,San Diego,CA,92126,794900,2,2,Mira Mesa,1008,5700,1976,2,789,,Active,,,https://www.redfin.com/CA/San-Diego/9050-Capricorn-Way-92126/home/4804181,SDMLS,220025470,N,Y,32.9250862,-117.1295775
MLS Listing,,Condo/Co-op,1080 Park Blvd #701,San Diego,CA,92101,809900,2,2,Downtown,1328,,2007,2,610,735,Active,,,https://www.redfin.com/CA/San-Diego/1080-Park-Blvd-92101/unit-701/home/17140883,SDMLS,220025469,N,Y,32.7163392,-117.1540942
MLS Listing,,Condo/Co-op,14121 Brent Wilsey Pl #1,San Diego,CA,92128,760000,2,2,Carmel Mountain Ranch,1101,343305,2007,2,690,330,Pre On-Market,,,https://www.redfin.com/CA/San-Diego/14121-Brent-Wilsey-Pl-92128/unit-1/home/17140645,SDMLS,220025465,N,Y,32.9770493,-117.0707429
